GroupID,GroupName,ModelId,ModelName
3158,TVS_RD,159,Bike_TVS_Wego_Default_2017_P_MT
3438,Denso,674,eRickshaw_Tork_Passenger_Default_2020_EV_MT
295,HWY Rider,158,Bike_TVS_Scooty pep_Default_2017_P_MT
2595,la5.ic,1679,eRickshaw_ADM_Electroride_Default_2024_EV_AT
2818,MBSI_PVT_LTD,114,Bike_Royal Enfield_Bullet 350_Default_2017_P_MT
4227,Moove,991,Car_Maruti_Spresso_Default_2021_P_MT
3060,BikeBazaar,446,eBike_HEROelectric_Optima_Default_2018_EV_AT
3633,Eastman,1983,BMS_Eastman_EM LFP S 51105 H_JBD CAN 500_2025_EV_AT
2520,Greendrive,1649,eBike_Quantum_Bziness_EV_2024_EV_AT
2595,la5.ic,1410,Car_Datsun_Redi Go_Default_2019_P_AT
8406,Delhi_FreightCarriers,1245,Car_MG_zs EV_Exclusive_2022_EV_AT
295,HWY Rider,850,Bike_Honda_Activa_6G_2020_P_MT
2457,IndusGo_SecondaryDevice,688,Car_Maruti_Swift_VXI_2020_P_MT
3516,LA5.IC.HARDWARE,978,Car_Toyota_Innova Crysta_Default_2021_P_MT
4546,Stride,974,Auto_Bajaj_Maxima_Default_2020_D_MT
4257,Gensol,1089,eRickshaw_Euler_HiLoad_AT_2021_EV_AT
2595,la5.ic,1232,eRickshaw_MLR Auto_Eltra_Cargo_Tork+Amaron_2022_EV_AT
3516,LA5.IC.HARDWARE,1094,eBike_TORK_Kratos R_Default_2021_EV_AT
3157,Perpetuity_Capital,1089,eRickshaw_Euler_HiLoad_AT_2021_EV_AT
165,RoyalBrothers,1167,Bike_Suzuki_Avenis_Default_2022_P_AT
4546,Stride,1679,eRickshaw_ADM_Electroride_Default_2024_EV_AT
2266,IndusGo_Bikes,1375,Bike_Honda_Activa_Default_2023_P_AT
2595,la5.ic,1098,Bike_Royal Enfield_Meteor 350 Super nova_Default_2020_P_MT
2495,DMT,1071,eRickshaw_Altigreen_NEEV HD_EV_2021_EV_AT
4209,Refex_Green_Mobility,1512,Car_Tata_Nexon_Default_2024_EV_AT
4991,Ambit_batteries,1933,BMS_Ambit_51.2V 105_JBD 500_2025_EV_AT
4015,Battrixx,2038,BMS_Battery_TEST_DLC4_2025_EV_AT
3902,EVM_secondarydevice,1582,Car_MG_Comet_EV_2024_EV_AT
3902,EVM_secondarydevice,1344,Car_Volkswagen_Vento_Default_2019_D_AT
2595,la5.ic,1174,Bike_KTM_Adventure 250_Default_2020_P_MT
2818,MBSI_PVT_LTD,1249,Bike_TVS_JUPITER_Default_2020_P_AT
2595,la5.ic,1243,eRickshaw_MLR Auto_Eltra_DV_SEG+Exicom_2023_EV_AT
4155,PointO,2052,BMS_Seiger_51.2V100AH_Superpower_2025_EV_AT
2595,la5.ic,1337,Car_Datsun_Go_Default_2019_P_AT
2818,MBSI_PVT_LTD,1200,Traveller_Force_Traveller_Default_2020_D_MT
3769,ZeroLeap,1181,Car_Tata_Xpress -T_Ziptron_2022_EV_AT
4268,Epitome_energy,2016,BMS_Epitome energy_51.2V105AH_Webber_2025_EV_AT
2520,Greendrive,1788,Car_BYD_BYD EMax_Default_2024_EV_AT
2595,la5.ic,1644,eBike_Quantum_Bziness_500_Bziness X_2024_EV_AT
2595,la5.ic,1134,eBike_Royal EV_Vegas	_Default_2021_EV_AT
4015,Battrixx,1381,BMS_Inverted_51.6V_Inverted_JBD_2023_EV_AT
6717,caryaire,1934,BMS_caryaire_76v200ah_JBD500_2025_EV_AT
3120,Inverted_energy,1640,BMS_Inverted_51.6V_Inverted_JBD_500BD_2024_EV_AT
2595,la5.ic,1269,Truck_Propel_E-Truck_Default_2023_EV_AT
3157,Perpetuity_Capital,136,Bus_Tata_Bus_Default_2017_D_MT
6170,Quick_Ride,1854,Car_Citroen_ec3_Default_2025_EV_AT
3709,TenV_La5,1125,BMS_Battery_TEST_Default_2021_EV_AT
2453,EVMGroup,1470,Bike_Triumph_Speed 400_Default_2022_P_MT
4961,Greaves_2W_Ampere,1851,eBike_Ampere_Magnus_MT80-SM_2025_EV_AT
3093,Greaves_3W_MLR_Auto,1230,eRickshaw_MLR Auto_ePRO_Tork+Amaron_2023_EV_AT
2113,Greaves_L3_BAPL_erickshaw,1963,eRickshaw_Bestway Agencies Pvt Ltd_ELE 60C_Cargo_2025_EV_AT
2266,IndusGo_Bikes,1750,Bike_Honda_Activa 6G_Default_2024_P_AT
2595,la5.ic,1533,Truck_Ashok Leyland_4220_Default_2023_D_MT
2595,la5.ic,1451,eBike_Quantum_Bziness_Trontek BMS_2023_EV_AT
4588,Neuron,1989,BMS_Neuron_51.2V200AH_JBD 500_2025_EV_AT
5146,ElectrifiMobility,1786,Car_Tata_Xpress -T_Ziptron_2024_EV_AT
3157,Perpetuity_Capital,1229,eRickshaw_Montra Electric_ePV_Default_2023_EV_AT
3033,vidyuttech_API,754,eRickshaw_Mahindra_Treo_Zor_2021_EV_AT
3854,VVIP_Police,208,Car_Maruti_Ertiga_Default_2017_P_MT
5504,MahindraDemo,1383,eRickshaw_Piaggio_Ape E-Xtra FX_EV_2023_EV_AT
4009,Pixcell,2057,BMS_Pixcell_51.2V100AH_JBD 500_2025_EV_AT
3620,blrtrafficpolice,409,Bike_Hero_Glamour_Default_2018_P_MT
3633,Eastman,1816,BMS_Eastman_EM LFP S 51105HJ_JBD 80Amp_2024_EV_AT
2938,FAE_Bikes,671,eBike_test_test_Default_2020_EV_AT
295,HWY Rider,1154,Bike_Royal Enfield_Hunter _350_2022_P_MT
1717,IndusGo,580,Car_Honda_City_Default_2019_P_MT
5074,Augmentaa,1601,BMS_Augmentaa_OGO Energy_48V/100Ah_2024_EV_AT
5028,CLN_Energy,1329,BMS_CLN Energy_52 V_51.2V 100Ah_2023_EV_AT
2023,Greenfuel,1202,BMS_Greenfuel_48V_V2_2022_EV_AT
4056,MoveInSync,1786,Car_Tata_Xpress -T_Ziptron_2024_EV_AT
2595,la5.ic,1752,eRickshaw_Euler_HiLoad_AT_2024_EV_AT
2595,la5.ic,1277,eBike_Fujiyama_SPECTRA_Default_2023_EV_AT
2818,MBSI_PVT_LTD,1123,Bike_Hero_HF-Deluxe_Default_2021_P_MT
5571,shizenenergy,2090,BMS_Shizenenergy_48.1V/100AH_JBD 500_2025_EV_AT
3055,Street_Corner,1133,eBike_Royal EV_K2_Default_2021_EV_AT
2365,DeviceManagement,1149,BMS_Inverted_48V_V1_2022_EV_AT
2862,E_ChargeUp,1987,BMS_Eastman_51V 105Ah P JCI_JBD16S/80A_2025_EV_AT
2595,la5.ic,1697,Bike_Honda_Hness_Default_2023_P_MT
2818,MBSI_PVT_LTD,1395,Car_Maruti_Dzire_Default_2023_D_MT
1843,ORIX.IC,151,Car_Toyota_Fortuner_Default_2017_D_MT
398,tork,1094,eBike_TORK_Kratos R_Default_2021_EV_AT
1822,Amplus,1481,Car_BYD E6_BYD E6_Default_2023_EV_AMT
3230,Blusmart,1245,Car_MG_zs EV_Exclusive_2022_EV_AT
6404,ETM_ZenMobility,1513,E-Cargo_Zen_ZEN MICROPOD_Default_2024_EV_AT
2595,la5.ic,1654,Bike_Triumph_Scrambler 400X_Default_2023_P_MT
2595,la5.ic,1551,eRickshaw_Bajaj_Maxima_Cargo_2024_EV_AT
2818,MBSI_PVT_LTD,545,Bike_Hero_Xpulse_200_2019_P_MT
2818,MBSI_PVT_LTD,1677,Bike_Royal Enfield_Scram 411_Default_2024_P_MT
7751,Akasa,2007,BMS_Safeli_51.2V105AH_JBD500 _2025_EV_AT
